<<<<<<< HEAD
,TicketID,SystemName,TicketSummary,TicketDescription,IssueType,Timestamp,Priority,Severity,OpenTime,CloseTime,Status,Assignee
24,TCKT1024,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-14 06:22:35,Low,Major,2025-01-14 06:22:35,2025-01-14 10:22:35,Resolved,Alice
25,TCKT1025,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-01 05:27:04,Medium,Critical,2025-02-01 05:27:04,2025-02-01 07:27:04,Resolved,Alice
26,TCKT1026,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-15 17:20:23,High,Minor,2025-01-15 17:20:23,,Open,Alice
27,TCKT1027,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-18 23:06:51,Medium,Critical,2025-01-18 23:06:51,,Open,Dana
28,TCKT1028,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-17 12:15:35,Low,Critical,2025-02-17 12:15:35,,In Progress,Eve
29,TCKT1029,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-28 19:59:59,High,Minor,2024-12-28 19:59:59,,In Progress,Alice
30,TCKT1030,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-17 05:38:23,High,Minor,2025-02-17 05:38:23,,Open,Bob
31,TCKT1031,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2024-12-04 13:34:11,Medium,Major,2024-12-04 13:34:11,,Open,Bob
32,TCKT1032,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-31 13:51:28,Medium,Minor,2025-01-31 13:51:28,2025-01-31 14:51:28,Closed,Alice
33,TCKT1033,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-05 10:30:52,Low,Minor,2025-02-05 10:30:52,,In Progress,Charlie
34,TCKT1034,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-14 06:40:45,Critical,Critical,2024-12-14 06:40:45,2024-12-14 11:40:45,Closed,Charlie
35,TCKT1035,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-21 23:26:14,High,Minor,2024-12-21 23:26:14,2024-12-22 02:26:14,Closed,Alice
36,TCKT1036,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-19 16:25:31,Critical,Minor,2025-02-19 16:25:31,2025-02-19 17:25:31,Resolved,Bob
37,TCKT1037,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-07 01:20:52,Medium,Major,2025-01-07 01:20:52,2025-01-07 03:20:52,Resolved,Bob
38,TCKT1038,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-21 20:53:19,High,Critical,2024-12-21 20:53:19,,Open,Dana
39,TCKT1039,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-12 14:17:24,Critical,Major,2024-12-12 14:17:24,,In Progress,Dana
40,TCKT1040,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-01-11 06:57:35,Critical,Major,2025-01-11 06:57:35,2025-01-11 09:57:35,Resolved,Dana
41,TCKT1041,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-18 17:31:09,Low,Critical,2025-02-18 17:31:09,,In Progress,Alice
42,TCKT1042,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-06 08:56:25,High,Major,2025-02-06 08:56:25,2025-02-06 09:56:25,Resolved,Eve
43,TCKT1043,UserPortal,Bug issue in UserPortal,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-07 01:30:20,Medium,Minor,2024-12-07 01:30:20,,Open,Bob
44,TCKT1044,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-15 09:22:33,High,Major,2024-12-15 09:22:33,,In Progress,Eve
45,TCKT1045,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-02 20:31:24,Low,Minor,2025-02-02 20:31:24,2025-02-02 21:31:24,Closed,Eve
46,TCKT1046,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-26 12:04:57,Medium,Minor,2024-12-26 12:04:57,2024-12-26 14:04:57,Closed,Charlie
47,TCKT1047,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-06 02:53:35,Medium,Minor,2024-12-06 02:53:35,2024-12-06 04:53:35,Resolved,Eve
48,TCKT1048,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-16 16:33:47,High,Critical,2025-02-16 16:33:47,,Open,Bob
49,TCKT1049,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2024-12-07 11:12:31,Low,Major,2024-12-07 11:12:31,,In Progress,Bob
50,TCKT1050,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-18 14:51:32,Low,Minor,2025-01-18 14:51:32,,In Progress,Dana
51,TCKT1051,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-21 17:29:50,Medium,Major,2024-12-21 17:29:50,2024-12-21 19:29:50,Resolved,Alice
52,TCKT1052,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-27 00:45:57,High,Major,2025-02-27 00:45:57,,Open,Bob
53,TCKT1053,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-01 07:06:03,Medium,Major,2025-02-01 07:06:03,,Open,Eve
54,TCKT1054,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-08 21:47:01,Critical,Minor,2025-02-08 21:47:01,,In Progress,Alice
55,TCKT1055,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-20 17:08:58,Critical,Minor,2025-02-20 17:08:58,2025-02-20 20:08:58,Resolved,Dana
56,TCKT1056,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-24 19:50:08,Low,Major,2025-02-24 19:50:08,2025-02-24 22:50:08,Closed,Bob
57,TCKT1057,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-17 05:22:40,Medium,Major,2025-02-17 05:22:40,,In Progress,Bob
58,TCKT1058,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-08 01:40:48,Critical,Critical,2025-02-08 01:40:48,,In Progress,Charlie
59,TCKT1059,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-18 17:50:37,Low,Critical,2024-12-18 17:50:37,2024-12-18 20:50:37,Resolved,Bob
60,TCKT1060,UserPortal,Bug issue in UserPortal,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-17 11:24:25,Low,Critical,2025-02-17 11:24:25,2025-02-17 16:24:25,Resolved,Alice
61,TCKT1061,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-19 15:00:32,High,Major,2024-12-19 15:00:32,2024-12-19 20:00:32,Resolved,Bob
62,TCKT1062,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-01-05 17:48:23,High,Major,2025-01-05 17:48:23,2025-01-05 21:48:23,Closed,Dana
63,TCKT1063,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-09 03:44:18,Low,Minor,2024-12-09 03:44:18,2024-12-09 07:44:18,Closed,Dana
64,TCKT1064,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-16 08:02:38,Medium,Critical,2025-01-16 08:02:38,,In Progress,Bob
65,TCKT1065,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-14 16:20:25,Medium,Critical,2024-12-14 16:20:25,,Open,Bob
66,TCKT1066,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-07 01:54:27,Low,Major,2024-12-07 01:54:27,,In Progress,Alice
67,TCKT1067,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-21 23:00:08,Critical,Major,2024-12-21 23:00:08,2024-12-22 01:00:08,Closed,Bob
68,TCKT1068,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-21 13:52:39,Low,Critical,2025-02-21 13:52:39,,In Progress,Bob
69,TCKT1069,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-24 09:45:29,Medium,Critical,2024-12-24 09:45:29,,Open,Alice
70,TCKT1070,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-23 01:52:25,Medium,Minor,2024-12-23 01:52:25,,Open,Dana
71,TCKT1071,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-03 06:26:50,Medium,Critical,2025-01-03 06:26:50,2025-01-03 11:26:50,Closed,Bob
72,TCKT1072,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-02 19:02:49,High,Minor,2025-02-02 19:02:49,,Open,Bob
73,TCKT1073,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-07 03:38:28,Low,Minor,2025-01-07 03:38:28,2025-01-07 05:38:28,Resolved,Dana
74,TCKT1074,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-24 18:19:44,Critical,Critical,2025-02-24 18:19:44,2025-02-24 19:19:44,Closed,Charlie
75,TCKT1075,UserPortal,Bug issue in UserPortal,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-13 16:52:24,Medium,Critical,2024-12-13 16:52:24,2024-12-13 17:52:24,Closed,Bob
76,TCKT1076,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-12 23:30:15,High,Critical,2024-12-12 23:30:15,,Open,Charlie
77,TCKT1077,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-13 10:19:40,Low,Major,2025-01-13 10:19:40,2025-01-13 15:19:40,Resolved,Charlie
78,TCKT1078,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-07 05:04:58,Medium,Major,2025-02-07 05:04:58,,In Progress,Charlie
79,TCKT1079,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-22 07:01:14,Critical,Major,2025-02-22 07:01:14,,In Progress,Bob
80,TCKT1080,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-28 08:03:38,Critical,Critical,2025-01-28 08:03:38,,In Progress,Charlie
81,TCKT1081,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-29 18:54:46,Critical,Major,2025-01-29 18:54:46,2025-01-29 21:54:46,Resolved,Dana
82,TCKT1082,UserPortal,Bug issue in UserPortal,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-23 15:57:30,High,Major,2025-01-23 15:57:30,,Open,Eve
83,TCKT1083,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-13 19:12:44,High,Major,2025-02-13 19:12:44,2025-02-13 23:12:44,Resolved,Bob
84,TCKT1084,MobileApp,Bug issue in MobileApp,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-12 21:02:17,Low,Critical,2025-01-12 21:02:17,2025-01-12 22:02:17,Resolved,Dana
85,TCKT1085,MobileApp,Bug issue in MobileApp,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-14 17:35:26,Low,Minor,2025-01-14 17:35:26,2025-01-14 22:35:26,Closed,Charlie
86,TCKT1086,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-01-25 08:52:49,Critical,Critical,2025-01-25 08:52:49,,Open,Alice
87,TCKT1087,MobileApp,Bug issue in MobileApp,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-17 10:19:23,Low,Major,2024-12-17 10:19:23,,Open,Eve
88,TCKT1088,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-01-14 17:53:05,Critical,Major,2025-01-14 17:53:05,2025-01-14 18:53:05,Resolved,Eve
89,TCKT1089,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-20 17:28:41,Critical,Minor,2024-12-20 17:28:41,,In Progress,Eve
90,TCKT1090,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-28 04:48:54,Medium,Minor,2025-02-28 04:48:54,2025-02-28 06:48:54,Resolved,Eve
91,TCKT1091,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-01-23 15:13:57,Low,Critical,2025-01-23 15:13:57,2025-01-23 17:13:57,Resolved,Dana
92,TCKT1092,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-05 10:33:42,Medium,Major,2024-12-05 10:33:42,,In Progress,Bob
93,TCKT1093,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-01-04 07:05:14,Critical,Minor,2025-01-04 07:05:14,2025-01-04 09:05:14,Closed,Bob
94,TCKT1094,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-27 00:15:13,Low,Major,2024-12-27 00:15:13,,Open,Dana
95,TCKT1095,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2024-12-31 17:47:57,Low,Critical,2024-12-31 17:47:57,2024-12-31 22:47:57,Closed,Eve
96,TCKT1096,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-12 22:05:20,Critical,Major,2025-02-12 22:05:20,,In Progress,Charlie
97,TCKT1097,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-21 23:39:46,Medium,Major,2025-02-21 23:39:46,,Open,Alice
98,TCKT1098,UserPortal,Bug issue in UserPortal,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2024-12-02 17:09:20,High,Critical,2024-12-02 17:09:20,2024-12-02 18:09:20,Closed,Bob
99,TCKT1099,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-05 23:57:50,Low,Critical,2025-02-05 23:57:50,2025-02-06 01:57:50,Resolved,Bob
100,TCKT1100,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-16 19:28:49,High,Minor,2025-01-16 19:28:49,,In Progress,Bob
101,TCKT1101,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-01-20 22:12:40,High,Minor,2025-01-20 22:12:40,,In Progress,Alice
102,TCKT1102,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-21 10:34:08,Medium,Major,2025-02-21 10:34:08,2025-02-21 12:34:08,Resolved,Bob
103,TCKT1103,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-11 13:04:33,Low,Critical,2024-12-11 13:04:33,,Open,Eve
104,TCKT1104,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-21 18:33:36,Medium,Minor,2025-02-21 18:33:36,2025-02-21 20:33:36,Resolved,Alice
105,TCKT1105,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-04 21:20:21,Low,Minor,2025-02-04 21:20:21,,In Progress,Eve
106,TCKT1106,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-20 23:02:04,Medium,Major,2025-02-20 23:02:04,,In Progress,Charlie
107,TCKT1107,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-13 08:09:15,Low,Minor,2025-02-13 08:09:15,2025-02-13 10:09:15,Resolved,Bob
108,TCKT1108,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-10 00:26:31,Critical,Major,2025-01-10 00:26:31,,Open,Alice
109,TCKT1109,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-11-30 14:01:24,Low,Minor,2024-11-30 14:01:24,,In Progress,Bob
110,TCKT1110,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-04 17:21:57,Critical,Critical,2025-01-04 17:21:57,,Open,Charlie
111,TCKT1111,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-20 21:36:59,Medium,Minor,2025-01-20 21:36:59,,In Progress,Eve
112,TCKT1112,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-24 10:04:29,High,Minor,2025-01-24 10:04:29,2025-01-24 13:04:29,Resolved,Alice
113,TCKT1113,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-08 02:40:51,Low,Major,2024-12-08 02:40:51,,In Progress,Alice
114,TCKT1114,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-13 01:33:58,Medium,Minor,2024-12-13 01:33:58,2024-12-13 06:33:58,Resolved,Alice
115,TCKT1115,UserPortal,Bug issue in UserPortal,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-01-09 23:17:48,High,Major,2025-01-09 23:17:48,2025-01-10 01:17:48,Resolved,Alice
116,TCKT1116,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-22 01:14:34,High,Minor,2024-12-22 01:14:34,,In Progress,Alice
117,TCKT1117,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-23 08:27:46,Medium,Minor,2025-02-23 08:27:46,,Open,Eve
118,TCKT1118,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-04 07:59:41,Medium,Minor,2025-02-04 07:59:41,,Open,Eve
119,TCKT1119,UserPortal,Bug issue in UserPortal,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-05 18:14:54,Low,Minor,2025-01-05 18:14:54,,In Progress,Alice
120,TCKT1120,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-18 17:48:40,Medium,Major,2025-02-18 17:48:40,2025-02-18 22:48:40,Resolved,Bob
